brand,current_price,old_price,discount,description,ratings,times_reviewed,rom,ram,battery,camera,sim port,screen_dim,android_ver
UMIDIGI,26420,52840,-50,"A3 5.5-Inch HD+ Quad Core (2GB+16GB ROM) Android 8.1 Oreo, 12MP + 5MP Dual SIM 4G Smartphone",5.0,1,16.0,2.0,4000.0,12.0,Dual SIM,5.5,8.1
Samsung,44000,55000,-20,"Galaxy A10 6.2-Inch (2GB RAM, 32GB ROM) Android 9.0,13MP Rear Camera + 5MP Front, 4G LTE Smartphone",4.4,169,32.0,2.0,4000.0,13.0,Dual SIM,6.2,9.0
Leagoo Lead 7,21929,42660,-49,"POWER 2  5.0""HD 2GB+16GB Android 8.1 MT6580A Quad Core Dual Camera Rear Fingerprint  Smartphone",4.0,3,16.0,2.0,4000.0,13.0,Dual SIM,5.0,8.1
Infinix,52999,55000,-4,"HOT 8, 6.6"" HD+ AndriodTM 9 Pie, (2GB RAM, 32GB ROM) (13+2MP/Rear & 8MP/Front), 5000mAh 4G LTE+ Free Bluetooth",4.85,6,32.0,2.0,5000.0,2.0,Dual SIM,6.6,8.1
Cubot,70550,104670,-33,"X20 Pro, 4G, 6.3 Inch (6GB + 128GB ROM) Android 9.0, 12.0MP + 20.0MP + 8.0MP Rear Camera - Blue",5.0,1,128.0,6.0,4000.0,12.0,Dual SIM,6.3,9.0
Nokia,36100,54990,-34,"Nokia 5.1 5.5"" Full-HD+ 3GB RAM 32GB ROM 16MP+8MP Smartphone Dual Sim -Blue",5.0,3,32.0,3.0,4000.0,16.0,Dual Sim,5.5,8.1
Infinix,60590,70000,-13,"HOT 8(X650B) 6.6"" HD+ (32GB ROM, 2GB RAM) (13MP + 2MP + QVGA) + 8MP Front Camera, 5000mAh Battery - Purple",4.65,25,32.0,2.0,5000.0,13.0,Dual SIM,6.6,8.1
Oukitel,29990,61500,-51,"C16 Pro 5.71-inch (3GB RAM 32GB ROM), Android 9.0 Waterdrop 2600mAh 4G Smartphone",4.5,2,32.0,3.0,2600.0,13.0,Dual SIM,5.71,9.0
Tecno,99900,0,0,"Phantom 9 6.4-Inch FHD (6GB,128GB ROM) Android 9.0 Pie (16MP+8MP+2MP) + 32MP 4G Smartphone - Lapland Aurora",4.0,1,128.0,6.0,4000.0,16.0,Dual SIM,6.4,9.0
Samsung,68000,0,0,Galaxy J8 32GB ROM 3GB RAM 6.0 Inches 16+ 5MP Dual Rear Camera /16MP Front Camera Dual SIM - Black,4.35,19,32.0,3.0,4000.0,5.0,Dual SIM,6.0,8.1
UMIDIGI,51985,103970,-50,"A5 Pro 6.3' FHD+ Waterdrop Screen (4GB, 32GB ROM) Android 9.0 16MP Triple Camera Octa Core 4G Smartphone (Global Band)",4.6,5,32.0,4.0,4000.0,16.0,Dual SIM,6.3,9.0
Infinix,100000,0,0,"ZERO 5 (X603) 5.98 Inch 6GB/64GB Android 7.0 Nougat, 12MP + 13MP Dual,+ 16MP Selfie Camera Dual Sim 4G LTE Gold",5.0,4,64.0,6.0,4000.0,12.0,Dual Sim,5.98,7.0
Samsung,36620,54990,-33,"ILA Silk 4GB RAM 64GB ROM 5.7"" 16MP Android 8.1 Smartphone -Black",4.0,1,64.0,4.0,4000.0,16.0,Dual SIM,5.7,8.1
Gionee,51351,97296,-47,M7 Power 6 Inch 4GB RAM 64GB ROM 13MP+8MP Hybrid Dual SIM Android 7.1 4G LTE Smartphone 5000mAh,5.0,1,64.0,4.0,5000.0,13.0,Dual SIM,6.0,7.1
Huawei,28499,40700,-30,Honor 5C 3GB RAM 32GB ROM 90% New Smartphone Android 6.0 Dual SIM 4G 12MP+8MP-Silver,4.0,1,32.0,3.0,4000.0,12.0,Dual SIM,5.8,6.0
